Christians for Israel,-,tbd,-
Christians on Campus,"This organization is committed to help students realize and participate in the eternal purpose of God as revealed in the Bible. By studying the Bible and other related texts, we hope to explore the deeper meaning of the Bible, especially how it applies to us in our living. Our hope is to experience the Bible in a way that will nurture our spirit and introduce the Lord Jesus Christ, a real and living person who can be experienced and enjoyed, to members of the Harvard community (students, faculty, staff, and alumni). Our purpose on the Harvard campus will also include serving the Harvard community by providing practical and spiritual support that cannot be experienced in a typical academic setting. We emphasize longitudinal experience of the Christian life, spanning not just the student years but professional, family, and even retirement years. This is carried out by the following ways:    - Campus meetings.     - Personal Bible studies and mentoring on campus.    - Home meetings with alumni, faculty, and supporting community members where the students can experience care in the Body of Christ and observe people of all ages who are living out the Christian faith.",harvard.coc@gmail.com,http://www.hcs.harvard.edu/christ/
Circle of Women,"Circle of Women Harvard College is a student run organization concerned with increasing awareness about, and creating solutions to, the global state of girls&#39; secondary school education. The group seeks to educate the Harvard community and the greater Boston area, particularly young people and students, about limited access to education for girls and the compounding benefits that girls&#39; secondary school education can provide in development efforts. Circle of Women Harvard College will support Circle of Women&#39;s operations by spreading awareness about the cause through film screenings, meetings, speaker events, and community events and raising funds to support Circle of Women&#39;s projects.",harvardcircleofwomen@gmail.com,http://circleofwomen.org
CityStep,Student organization that brings arts enrichment in Cambridge Public Middle Schools,citystep.harvard@gmail.com,-
CIVICS (PBHA),"The Kettering Foundation reports that citizens &quot;believe that they do not -- cannot -- have a say in the system [because] there&#39;s no room left for their voices.&quot; CIVICS strives to inspire students to take an active participatory role in their community by educating them on what our government is and how it affects their lives. Students are encouraged to think critically about their rights and responsibilities as citizens through lessons on the Constitution and Bill of Rights. With challenging discussions and simulations, children in grades 6-8 learn to evaluate, critique, and appreciate the democratic process through 8 weekly classes. Groups of 2 or 3 CIVICS instructors teach in social studies classrooms of 15 to 25 students in the Boston and Cambridge public schools. For more information, please contact Mike Love (mlove@fas).",civics@pbha.org,-
Classics Club,"The Classics Club provides a wide variety of opportunities for enthusiasts of ancient Rome, Greece, and their corresponding languages and cultures to promote and celebrate the Classics. The club&#39;s activities include, but are not limited to, a weekly Latin Table (Mensa Latina), classically themed movie nights, the translation and production of a Greek or Latin play for the wider audience on campus, and the occasional toga party. The club also sponsors Persephone, a journal for poetry, art, and translation inspired by the Classics. During the spring semester, club members organize and host the Harvard Certamen, a Latin Quiz-bowl tournament for high school students that attracts schools from across the nation.",harvardclassicsclub@gmail.com,-
Climbing Wall,"Climbing Wall staff operate and maintain the Harvard Climbing Wall, which is located in the Quadrangle Recreational Athletic Facility.",harvardwall@gmail.com,https://climbing.fas.harvard.edu
College Bowl,"Come check us out if you played quiz bowl, history bowl, or science bowl in high school! Come check us out even if you didn&#39;t, but still like learning about cool stuff! We don&#39;t have tryouts, and you can attend as many practices and tournaments as you like. We frequently travel along the east coast (and sometimes even farther) for tournaments, with all travel expenses covered by the team!",myung_suh@college.harvard.edu,-
Collegium,"Harvard&#39;s distinguished undergraduate mixed chorus, the Harvard-Radcliffe Collegium Musicum, was founded in the fall of 1971 to coincide with the coeducational merger of Harvard and Radcliffe Colleges.                    The repertoire of Collegium draws on a diverse spectrum of a cappella and orchestral selections, including both sacred and secular works of composers such as Palestrina, Byrd, Dufay, Tallis, Brahms, Rachmaninoff, Debussy, Ravel, Britten, Barber, and more.                    The group garnered critical acclaim under its first conductor, F. John Adams, and in 1978, direction of the group passed to Jameson Marvin, who led the chorus to even greater heights. Currently, Collegium flourishes under the direction of Andrew Clark. In addition to historical masterpieces such as Beethoven&#39;s Symphony No. 9 and Handel&#39;s Israel in Egypt, Collegium has brought the works of modern and contemporary composers, including John Adams, Steven Stucky, Julian Wachner, to performance spaces both in Boston and abroad.                     In addition to its independent performances, Collegium regularly collaborates with notable performing groups both within and outside the Harvard community, including the Harvard-Radcliffe Orchestra and the Handel and Haydn Period Orchestra of Boston.",hrcm@hcs.harvard.edu,http://www.hrcm.org/
Colombian Students Association,"The Colombian Student Association at Harvard College is an organization devoted to exploring social and cultural issues as they relate to Colombia, the Gateway to South America. We are joined by a strong desire to support and strengthen Colombia through educational programs, service projects, and social events that promote Colombian culture, diversity, history, and all its many treasures. We also work to create a stronger link between Harvard faculty, researchers, and students, and Colombian officials. Anyone interested in Colombia, what we do, or Latin American culture in general is encouraged to learn more about our group and how they may contribute.",colsa-list@lists.hcs.harvard.edu,https://www.facebook.com/HarvardCOLSA/
Community Garden,"We manage and maintain the Harvard Undergraduate Community Garden, located on the Quad Lawn, working in collaboration with various administrators across the University. From planting to distribution to planning and implementing programmatic uses of the garden as an educational and social space, we aim to serve and form relationships the larger Harvard and Cambridge communities and programs. During the growing season, we hold regular club meetings and weekly workdays open to anyone wishing to participate.",harvardgardeners@gmail.com,http://garden.harvard.edu/
"Community of Humanists, Atheists, and Agnostics","The Harvard Community of Humanists, Atheists, and Agnostics seeks to encourage consciousness of the various political, scientific, social and cultural issues surrounding secularism and Humanism. Accordingly, HCHAA sponsors events, panel discussions, debates, social functions and other educational and cultural programs. HCHAA welcomes members of every gender, ethnicity, religious background and sexuality. We seek to maintain a positive and communicative relationship with other religious and political groups on campus, and welcome our responsibility to give back to the community, lending support to community service and political campaigns affecting secularism or Humanism.",secular@hcs.harvard.edu,http://www.hcs.harvard.edu/~secular
Composers Association,"The mission of the Harvard Composers Association is to promote the presence of 20th- and 21st-century music on Harvard???s campus through concerts of contemporary repertoire, original student compositions, and collaborative projects with other media, art forms, and organizations. The Harvard Composers Association aims to serve as a community and platform for aspiring undergraduate composers through the programming of concerts and masterclasses during the academic year. These events are intended to both enrich Harvard???s musical offerings and create valuable opportunities for composers to publicly exhibit their musical lives. ",harvardcomposers@gmail.com,http://harvardcomposers.weebly.com/
Computer Society (HCS),"The Harvard Computer Society is an undergraduate student group dedicated to promoting interest in computing and technology in the Harvard community. HCS brings speakers to talk about technology and works on a variety of projects throughout the year. In the past, these have included giving seminars on computer topics, improving the technological tools available to student groups, and organizing the wildly popular Valentine&#39;s Day Datamatch. HCS also provides web space, mailing lists, and email accounts which many Harvard student organizations rely on. No experience is required to get involved.",hcs-board@hcs.harvard.edu,http://www.hcs.harvard.edu
Concilio Latino,"Concilio Latino is the University-wide, &quot;umbrella&quot; organization for all the Latino/Latin American groups at Harvard. The organization provides a forum for dialogue, coordination, and communication for the Latino/Latin American community&#39;&#39;s cultural, performing, political, social and publication groups on campus, while also expanding awareness to the larger Harvard community on pertinent Latino/Latin American issues. Historically, Concilio Latino has been responsible for sponsoring the Latino Welcome Day at the beginning of the academic year, as will as the Latino Graduation at the end of the academic year. Additionally, as of 2006 the organization has hosted the Latino Holiday Dinner during early December, a soon-to-be tradition of the Harvard Community.",harvard.concilio@gmail.com,-
Connelly Center Youth Prison Tutoring Program (PBHA),"The Connelly Youth Center Program, part of PBHA&#39;&#39;s Prison Education Program, is made up of a small, dedicated group of students seeking to provide one-on-one academic help to teenage boys (16-18) from the Connelly Youth Center, a juvenile detention center in Roslindale, MA. Volunteers travel to Connelly by van once a week, either Monday or Thursday, and work with each student whatever they&#39;&#39;d like to do. Tutors typically help students complete work for classes, strengthen basic reading, writing, and math skills, prepare for standardized tests, and/or explore extracurricular topics of interest. Whenever possible, we try to match up each tutor with a particular student in order to foster more long-term tutoring relationships. With all of the van ride bonding time included, a night of tutoring runs from about 6:15-8:30. If you&#39;&#39;d like to learn more about why the Connelly program is the greatest ever, please contact Daisy Chiu (dchiu@fas) or Azeemah Kola (akola@fas).",youthprisontutoring@pbha.org,-
Consent Advocates and Relationship Educators (CARE),"CARE is a group of peer educators - translators, interpreters, and connectors - who serve as liaisons between the Office of Sexual Assault Prevention and Response and their peers. Through strategic educational initiatives, outreach, and programming, CAREs work to create a campus culture free from the threat or experience of sexual violence for all people.",tbd,http://osapr.harvard.edu/pages/care
Conservation Society,"The Harvard College Conservation Society is concerned with assisting environmental NG??s to advocate, publicize, and work on both international and domestic projects that focus on sustainable development, wildlife protection, ecotourism, and environmental conservation.",harvardconservation@gmail.com,http://www.harvardconservation.org
Constitutional Law Society,HCS is dedicated to providing Harvard students with an introduction to constitutional law and the United States Constitution more generally. Students of all academic backgrounds and levels of experience in constitutional law participate in fun-spirited debates about on-going cases before the Supreme Court and philosophical conversations about the Constitution&#39;s structure. We take pride in our friendly and open minded environment.,harvardcls@gmail.com,-
Consulting Group (HCCG),"The Harvard College Consulting Group is a student-run, not-for-profit organization that actively improves communities around Harvard and beyond by creating innovative and effective solutions for businesses and nonprofits, while fostering personal and leadership development for its members.         HCCG operates with the highest standards of professionalism in all its relationships with clients and the outside community. The internal environment values both cooperation and individual initiative, with the belief that innovation often springs from a team environment. To this end, HCCG prizes diligence, cooperation, and creativity, while providing members with critical training that enables them to understand businesses from numerous perspectives.          Please contact us at info@harvardconsulting.org to inquire about membership.",info@harvardconsulting.org,http://www.harvardconsulting.org/
Consulting on Business and the Environment,"Harvard Undergraduate CBE is a strategy consulting group that works with Fortune 500 companies and high-growth startups in the technology, life sciences, and sustainability sectors to solve pressing business problems and develop research-driven strategy recommendations for clients. Since 2008, the group has provided clients with industry-focused solutions including market/industry analysis, product design, customer segmentation, and financial modeling. The group also retains a strong focus on sustainability, working with multiple projects each year geared towards renewable energy, clean water, and clean technology-based companies and programs.",harvardcbe@gmail.com,http://www.harvardcbe.com
Contact Peer Counseling,"Contact is a non-judgmental, non-directive, confidential undergraduate peer counseling group for all sexualities, all genders, and all relationships. Located in the basement of Thayer, Contact is a great space to chat about your feelings, vent about a bad day, or work through confusing situations. Pick up some safer sex supplies, browse our library, or talk to our friendly staff. We&#39;re always here to listen. Call us or drop-in from Friday-Sunday, 8pm-1am, or drop in at QuadTalk every other Thursday 9pm-12am.",harvardcontact@gmail.com,http://www.hcs.harvard.edu/~harvardcontact/
Corcairdhearg,"Irish Dancing is an expression of athleticism, talent, and culture. It is both an artful and competitive activity in which thousands of students participate worldwide. Modern Irish Dancing derives from traditional step dancing, which became popular in Ireland during the 18th Century. Unique characteristics distinguished Irish step dancing from other forms of dance, and dancers became known for their rigid upper bodies, precise movements, and percussive beats. Today, Irish Dancing has become a popular modern form of dance throughout all of Europe, Australia, and the Americas. Dancers learn a variety of steps choreographed to traditional Irish music; the dances may be performed in light shoes or heavy shoes, as solo dances or as team dances.           The Harvard College Irish Dancers, named &quot;Corcairdhearg&quot; after the Irish word for &quot;Crimson&quot;, are a group of students dedicated to choreographing, practicing, and performing Irish Dancing at Harvard. The group serves three functions to incorporate all levels of dancing. Firstly, the dancers showcase their work by participating in various cultural shows on campus and by holding performances of their own. Weekly practices allow the students to create and perfect new steps and to share different styles of the dance with one another. Secondly, the group holds classes for inexperienced dancers to learn the basics of Irish Dancing. Finally, the group forms a network for currently competitive dancers to give these students an opportunity to continue competing throughout their time at Harvard.           Corcairdhearg: Harvard College Irish Dancers is a group committed to bringing this unique form of dance to the Harvard community.",harvardirishdance@gmail.com,-
Crimson Consulting Club,-,tbd,-
Crimson Key Society (CKS),"Crimson Key Society is the premiere organization dedicated to serving the Harvard University community. CKS leads daily campus tours, participates in community outreach through the TEACH program, helps organize the Calendar of Opening Days each fall, ushers commencement services in June, and provides greeters for a variety of campus-wide activities, including the annual Arts First weekend, visiting parents weekends and various discussion panels.",CrimsonKeySociety@gmail.com,http://www.crimsonkeysociety.org
CrimsonEMS,"CrimsonEMS is a on-campus EMS service run and staffed entirely by Harvard students. Our purpose is to allow students the opportunity to learn and provide professional medical care at campus events, as well as to work aboard professional ambulances run by professional EMS service, ProEMS, in the city of Cambridge. Each spring, CrimsonEMS facilitates a heavily subsidized Emergency Medical Technician-Basic (EMT-B) training course taught by ProEMS, which takes place at Harvard University concurrent with academic classes. Members of CrimsonEMS also provide on-campus CPR training to the greater Harvard Community with the goal of making Harvard a HeartSafe campus. Eventually, CrimsonEMS hopes to operate our own ambulance to even better serve this community. We believe that our capacity to serve our school, our community, and ourselves as EMTs is tantamount to a healthy, happy, and medically aware College Community.",crimsonems@gmail.com,http://www.crimsonems.org
Cuban-American Undergraduate Student Association (CAUSA),The Cuban-American Undergraduate Student Association (CAUSA) is a student group committed to sharing the beauty of Cuban culture with the Harvard community and acting as an advocate for a free and democratic Cuba. We host both social and political events.,causa@hcs.harvard.edu,-
Culinary Club,"The Harvard College Culinary Club consists of a 25-student board that organizes events all across campus, meeting by-weekly to plan new events. Events will be open to any and all students across the University, and will vary in size and type. Join us in a Ve-Ri-Tas(ty) experience! ",harvardculinaryclub@gmail.com,http://www.harvardculinary.com
Cyber Club,Learn about cyber defense and cybersecurity with pizza and great people! You&#39;ll have the chance to compete with us or just learn a thing or two with your peers and from the folks at HUIT.,harvardcyberclub@gmail.com,http://hc3.club/
Dance Marathon,-,tbd,-
David Walker Scholars (DWS) (PBHA),"The David Walker Program strives to create a sense of black cultural and historical pride in Boston area boys through education and mentorship from the Harvard Black Men?s Forum. It has been our longtime belief that we have a duty to provide guidance and leadership to the young men of the Boston community in order to facilitate a positive and prosperous future for them, as well as break the negative stereotypes of the common black man in America. We look to do this by teaching and mentoring these young men on black history and life skills, such as college planning, dealing with police and other figures of authority, drugs in the community, etc. Our relationship with these boys will extend outside of the classroom and include field trips and other activities to create and strengthen bonds that we hope will last far beyond their time in the program.",dws@pbha.org,-
Deaf Awareness Club (DAC) (PBHA),"PBHA??s Deaf Awareness Club Program is a student-run organization dedicated to raising awareness about Deaf Culture among the Harvard Community. DAC offers on-campus American Sign Language (ASL) classes, a weekly ASL Table, and a wide range of educational and social events where members can practice signing. DAC members attend Deaf events around the greater Boston area and form relationships with members of the Deaf Community through socializing and volunteering.",dac@pbha.org,http://harvarddac.wordpress.com
Debate Council,The Harvard Debate Council is the policy debate team at Harvard College. We participate in intercollegiate debate tournaments around the nation.,harvdebatecouncil@gmail.com,http://harvarddebate.org/
Debating Union,"The intent and purpose of the Harvard College Debating Union (HCDU) is to develop and pursue excellence in public speaking and oration in the Harvard community, and to represent Harvard University in intercollegiate speech and parliamentary debate competitions. In addition, HCDU will seek to sponsor, organize, and run speech and parliamentary debate tournaments, public speaking events and demonstrations, and community service projects in the best interests of public speaking.",tbd,http://www.hcdu.org
Deepam,"Deepam exists to unite people who share a passion for Indian classical dance on campus. In addition, this group seeks to inspire enthusiasm in the larger community for this vibrant, energetic and graceful tradition. By performing in cultural shows and intercollegiate competitions throughout the year, Deepam maintains its presence on campus and in the Boston area.",harvarddeepam@gmail.com,-
Delphic Bee,-,tbd,-
Democracy Matters,"Democracy Matters, a non-partisan campus-based national student organization, works to reform democracy so we can place people back to their rightful positions as society&#39;s true leaders. Our mission is to strengthen democracy by: (1) training young people how to be effective grassroots organizers and advocates, and (2) supporting ???fair elections&quot; and other pro-democracy reforms.Student activism is essential to achieving the political reform that our country needs. We mobilize student ideas and enthusiasm here at Harvard to energize and engage with the national movement for democratic reform, restoring the voices of individuals, one vote at a time.          Our vision is an inclusive democracy that includes and is accountable to all voters ??? not just big campaign contributors. The fight for ???fair elections??? affects all the issues about which we should care about: environment, healthcare, education, economy, civil rights, poverty, foreign policy, racial justice, media ownership, and more.         Join us.",rootstrikers@hcs.harvard.edu,https://www.facebook.com/hcdemocracymatters/
Democrats,"The Harvard College Democrats work to grow and strengthen the Democratic community on Harvard&#39;s campus, and to mobilize progressive students to work for Democratic policies and principles both on this campus and beyond it.",president@harvarddems.org,http://www.harvarddems.org
Design Labs,-,tbd,-
Developers for Development,"Harvard College Developers for Development (D4D) is fostering a community that empowers undergraduates at Harvard to apply information communications technology (ICT) for social impact in global development. Initiatives include term-time projects with nonprofits and other organizations through the Social Innovation Projects program, an annual international development hackathon (IDHack), and a fellowship enabling students to apply tech in the field during J-Term (Tech in the World). We also connect students with resources for fellowships, internships, jobs, and funding opportunities in the space of ICT4D. For more information visit our website at harvardd4d.com.",harvardd4d@gmail.com,http://harvardd4d.com
Development Think Tank,"The Harvard Development Think Tank (HD-Tank) is a student-run organization at Harvard College that is committed to bringing unique problem-solving skills to international development issues. Through pro-bono non-profit consulting services, we aim to optimize the impact and performance of non-profit and developmental organizations. These projects both qualitatively and quantitatively assess a range of subjects from around the world, and enable Harvard students to utilize their analysis skills to make an enduring and global impact. Beyond such consulting, we organize a wide array of events that take a holistic approach to development, looking at everything from global health to microfinance to international education, human rights, and much more. _",george_hou@college.harvard.edu,-
Dharma,"Dharma provides space for members of the Harvard community to celebrate Hindu festivals, to learn and practice Hindu values and traditions, and to discuss the South Asian and Hindu experience. Central to Dharma???s mission is the Hindu belief that there are many paths toward spiritual growth and fulfillment. This ideal is reflected especially in the inclusive nature of Dharma???s community and social events.",harvarddharma@gmail.com,https://www.facebook.com/HarvardDharma/
Digital Literacy Project,The Digital Literacy Project teaches computer science to middle schoolers. We empower traditionally underserved communities through computer science education.,digilitpres@gmail.com,http://digilit.io
Din &amp; Tonics,"The Harvard Din &amp; Tonics are world-famous for their impeccable musicality, snappy choreography, and zany humor. With a repertoire centered on the American jazz standards of the 1920s, 1930s, and 1940s, these 12 Harvard gentlemen (who perform in white tie, tails, and lime-green socks) are sought-after the world over for their singular blend of a cappella--with a twist!",dins@dins.com,http://www.dins.com
Disability Alliance,"Our purpose is to create a community for disabled students at Harvard as well as a space for non-disabled students to discuss issues of ableism, inclusion, and social stigma. We seek to promote accessibility on campus as well as encourage disability pride through events and activism. We are both an awareness and social group.",elsietellier@college.harvard.edu,-
DPE,"Welcome to the Office of Diversity Education &amp; Support!  We are extremely excited to share news and event updates regarding our growing DPE program within the Harvard College community.         Visit Us in Harvard Yard:    Grays Hall, Ground Level    diversity@fas.harvard.edu",dpe_diversity@fas.harvard.edu,https://diversity.college.harvard.edu/
DREAM,"The DREAM Program is a mentoring organization that pairs college students with youth from nearby affordable housing communities. Our chapter at Harvard works with Putnam Gardens, a community that is only a 10 minute walk away from campus. The goals of the program are to empower mentees to make informed decisions, recognize their options, and achieve their dreams. Our core values are: transparency, empowerment through ownership, contagious energy, supportive community, safety, encouraging dreaming, inclusion, and building responsible citizens. Student mentors stay paired with the same mentee throughout their time at Harvard, building strong, lasting relationships of mutual trust and support. Students meet with their mentees Friday afternoons to participate in a range of activities designed to explore cultural experiences, encourage community service, and/or simply promote bonding between mentor/mentee pairs.",putnam@dreamprogram.org,-
Dreamporte,"Dreamporte is a non-profit organization whose mission is to enrich the lives of disadvantaged youth through a virtual reality and mentorship education program. With the advent of relatively inexpensive virtual reality goggles, it&#39;s now possible to view life-like scenery from around the world in a 3D panoramic experience, allowing students to discover new places, knowledge, and passions. We aim to use this technology, along with volunteer-led interactive activities, to educate, engage, and inspire children to keep learning about the world. We hope to bring social justice beyond the scope of our weekly program by directing students to other resources to pursue the interests they develop through our program.",dreamporte@gmail.com,-
Drug and Alcohol Peer Advisors (DAPA),"Harvard Drug and Alcohol Peer Advisors (DAPA) is a group of student advisors that serve both as health opinion leaders and resources to their peers. DAPAs are trained to provide accurate information and respond to questions regarding drug and alcohol use. While we come from a variety of backgrounds and perspectives, we are united in our goal to make Harvard as fun and safe of a campus as possible.",HarvardDAPA@gmail.com,http://harvarddapa.org
Dutch Society,"Hoi!    We are the Harvard College Duch Society, a student organization for Dutch students at Harvard and students interested in the Netherlands.     ",tbd,-
Early Music Society (HEMS),"The Harvard Early Music Society was founded in 1997 with the purpose of supporting performances of early music at Harvard by engaging issues of early performance practice while concurrently fostering an appreciation of such music in the community.          HEMS presents performances and masterclasses with noted early music soloists and ensembles, organizes outings to regional early music events, and organizes various other performances and playing sessions among members, other student groups, and guest artists.",mbernstein@college.harvard.edu,http://harvardearlymusicsociety.com
Eating Concerns Hotline and Outreach (ECHO),"Eating Concerns Hotline and Outreach is an undergraduate organization formed to address issues related to eating and body issues at Harvard. ECHO offers confidential peer counseling services at its office in L Entryway of Eliot (Room T-24) from 8 pm to 11 pm, Sunday through Wednesday. The hotline is staffed every night from 8 pm to 8 am. ECHO counselors provide non-judgmental support and empathy for those who have concerns about themselves or others. ECHO members also sponsor educational and outreach programs throughout the year.",harvardecho@gmail.com,-
Ecdysis,"The purpose of Ecdysis is to publish a bi-annual undergraduate student journal showcasing writing, visual and auditory art that explore scientific subjects. By celebrating the complexities of science through an aesthetic lens, the journal hopes to reveal the beauty inherent in science, ultimately using the artistic medium to foster an interest and wonder in the natural world.",ecdysisjournal@gmail.com,https://ecdysisjournal.wordpress.com/
Economics Association,"The Harvard Undergraduate Economics Association (HUEA) serves as a forum for undergraduate students interested in economics. Its activities include dinners with professors, graduate school panels, peer advising, and community outreach.",huea@hcs.harvard.edu,https://www.thehuea.org
Economics Review,"The Harvard College Economics Review is an annual periodical addressing issues of national and global importance through economic analyses accessible to professionals and common readers alike. We feature articles and interviews with some of the world&#39;s most prominent economists in academia, business, and government, as well as a regular blog from our Harvard staff.",harvardeconomicsreview@gmail.com,http://www.harvardecon.org
Effective Altruism,"We are a campus group dedicated to spreading the ideas of effective altruism--that we should apply evidence and reason to find the most effective ways to improve the world. In particular, we promote the ideas that: We are in a unique position to do good, and it&#39;s important that we care. Through rational decision making, we can make a much larger difference. We can, and do, enjoy doing it! Who we are: We are a diverse group of undergraduates, unified by a common desire to do good in the world. We like to challenge assumptions, seek out surprising ideas, and celebrate change for the better.",harvardea@gmail.com,http://www.harvardea.org
Elderly 1-2-1 (PBHA),"Elderly Affairs (EA) Committee is the primary organization of Phillips Brooks House Association for serving Boston- and Cambridge-area senior citizens. We currently have four programs: Vernon Hall Nursing Home Visitations, 1-2-1 Matchups, Alzheimer&#39;s Buddies for the Arts, and Geriatrics Interest Group-EA. All programs are different in scope and meeting time, so if you are interested at all in working with the elderly, then please contact 2007-08 Co-Directors Niraj Nathan (nnathan@fas.harvard.edu), Katie Grosteffon (kgrostef@fas.harvard.edu), and Kevin Zhang (kyzhang@fas.harvard.edu). We hope that our intergenerational program will allow students to benefit from the wisdom and experience of senior citizens while the elders receive the time, care, and enthusiasm of the students.",elderly121@pbha.org,-
Electronic Music Collective,"The Harvard College Electronic Music Collective provides electronic musicians the ability to showcase their music and DJing skills, hold workshops, and provide a collaborative and supportive environment.",harvardelectronicmusic@gmail.com,http://www.hcs.harvard.edu/~hcemc
Eleganza,"Eleganza highlights diversity and charity; our purpose is to showcase the diversity of our student body through fashion and performance at our annual show over Visitas weekend. Throughout the year, we support Boston&#39;s Center for Teen Empowerment through mentorship, and we ultimately donate all proceeds from the show to this local charity.",eleganzashow@gmail.com,https://www.eleganzashow.org/
Engineering Society (HCES),"The Harvard College Engineering Society is a student-run organization at Harvard College aimed at promoting engineering and cross disciplinary collaboration on campus through mentorship activities, community building, professional recruiting and collaboration, as well as serving as a resource for undergraduate engineers at Harvard.",hcesengineers@gmail.com,http://hces.seas.harvard.edu/
Engineers Without Borders (EWB),"Harvard Engineers Without Borders is affiliated with Engineers Without Borders - USA, a non-profit humanitarian organization established to partner with developing communities around the world in order to improve their quality of life. Our chapter seeks to promote a global consciousness among students by working on environmentally sound and economically sustainable engineering projects. The projects usually last 3-5 years and culminate in a trip to the community in which they will be implemented. Members from a variety of concentrations are encouraged to join. We are dedicated to the EWB mission: &quot;Building A Better World, One Community At A Time.&quot;",harvardcollege@chapters-ewb-usa.org,http://projects.iq.harvard.edu/ewb
Entertainment Society,"The Harvard Entertainment Society is dedicated to creating a community at Harvard and beyond for students passionate about the media and entertainment industries. We seek to expose an industry rarely discussed or pursued by our peers to the broader student body, and to act as a hub of information, discussion, and support for those considering pursuing this industry professionally. By bringing together this network of students through speaker series, networking events, and public forums, the Harvard Entertainment Society intends to act as a home for the creatively-inclined during college and to shed light on the path that follows after it.",harvardentsociety@gmail.com,-
Environmental Action Committee (EAC) (PBHA),"The Harvard College Environmental Action Committee seeks to help achieve a sustainable world and protect the environment for its human and non-human inhabitants. To this end, the EAC aims to raise the consciousness of Harvard&#39;&#39;s students to the effect of their own actions on the environment and to their status as stewards of this planet&#39;&#39;s resources. We advocate specific changes at the campus, local, national, and international levels. Furthermore, we serve as a forum for discussion and a source of information on environmental issues. Finally, we seek to enrich our members through fun and fulfilling experiences. The Environmental Action Committee is divided into several subcommittees that function more or less independently, and deal with distinct issues - this is where the real action takes place. Weekly board meetings (location and time TBA) are open to anyone interested in guiding the organization toward the future, and frequent committee-wide events bring everyone together for a common cause or interest. Subcommittees include Earth Day, Environmental Justice, Sustainable Allston, Green Campus, and Enviro-Ed. Contact Mitch Hunter (mghunter@fas@fas), or Amy Heinzerling (apheinz@fas).",eac@phba.org,http://www.greencrimson.com
Episcopal Students,"ESH is concerned with creating an Episcopal Church student community on campus. The group will seek to promote greater conversation around Christian thought in the Harvard Community and provide a place where any interested student is welcome to learn about and be a part of the Anglican tradition by attending services, meetings, discussion groups, and other educational and social activities.",mkennelly@comcast.net,http://www.harvardepiscopalians.org/
Escape Room Club,,harvardroomescape@gmail.com,-
Esports Association,"The Harvard College eSports Association is concerned with three major goals:          1) supporting intramural and intercollegiate competition in gaming,          2) connecting the Harvard gaming community, both socially and professionally, to other gaming communities and to video game companies, and          3) fostering a positive gaming community here at Harvard.                    On top of these major goals, we strive to de-stigmatize gaming and gaming culture by introducing gaming to Harvard students who may not have had the opportunity to learn about it.",esportsharvard@gmail.com,https://www.facebook.com/harvardesports/
European Business Group,"The European Business Group (EBG) is dedicated to providing the Harvard Student body with knowledge about the European business environment, economic climate, investment opportunities and politics affecting the business sector of Europe. Furthermore, the EBG seeks to give students the opportunity to explore different career paths in the region and to connect with representatives of leading companies from the continent in sectors such as finance, consulting, manufacturing and more. The EBG will also create a space where students with the same interests can meet and learn from each other. We will achieve our goals through organizing guest speaker events, discussions, seminars, conferences, social activities and through other channels.",ebg-executive@lists.hcs.harvard.edu,http://harvardeuropeanbusiness.com/
European Society,"The Harvard College European Society serves as a liaison between the Center for European Studies and the undergraduate community at Harvard College. It seeks to promote awareness of and appreciation for European affairs and culture through both academic or political and social or networking activities. It is not exclusive to Europeans, and welcomes all students with an interest in Europe. Members organize discussions with professors, Visiting Scholars, European officials, and annual social events such as a Venetian Masquerade Ball and Oktoberfest.",tbd,https://ces.fas.harvard.edu/opportunities/undergraduates/harvard-college-european-society
Evening with Champions,"An Evening with Champions is a public charity non-profit committee dedicated to fighting cancer by raising money for The Jimmy Fund, the fundraising arm of Dana-Farber Cancer Institute. Founded at Harvard University in 1970, An Evening with Champions presents an annual world-class figure skating exhibition at the Bright Hockey Center in Allston, Massachusetts. The exhibition features national and Olympic figure skaters, and has seen the talents of champions such as Yuna Kim, Michelle Kwan, Johnny Weir, and more.                    An Evening with Champions is entirely run by Harvard students, and is motivated to support Dana-Farber Cancer Institute and the Jimmy Fund as they seek new methods of diagnosis, treatment, and prevention of cancer. Though the organization mainly focuses on organizing our annual fall exhibition, members of An Evening with Champions also volunteer at The Boston Marathon Jimmy Fund Walk, and work with other Harvard organizations eager to support the fight against cancer.",info@aneveningwithchampions.org,http://www.aneveningwithchampions.org
Experimentors (PBHA),"Volunteers in the ExperiMentors program teach science lessons to Cambridge public school children in grades 1-6 which emphasize hands-on learning, the scientific method, and questioning and discovery. Partnerships of two volunteers develop a curriculum and teach the class one hour per week during school time. Ultimately, the choice of the lesson topic is up to the volunteers who find it very rewarding to teach areas of particular interest. ExperiMentors emphasizes the importance of hands-on learning. This program affords Harvard students the opportunities to gain skills in teaching, exercise their creativity in the development of lesson plans, combine academic interests with community service, and most importantly, develop young children&#39;s curiosity and fascination in the natural and physical world around them. For more information, please contact Ravi Raju (rraju@fas) or Josie Weeks (weeks@fas).",experimentors@pbha.org,-
Expressions,"Harvard&#39;s Expressions Dance Company (EDC) is a completely student-run company built on three guiding principles which we strive to promote in all areas of the organization: creativity, confidence, and community. EDC seeks to be an open company so that students from all backgrounds who want to dance, perform, and have a good time can do so!",expressionsdirex@gmail.com,https://www.harvardexpressions.com/
